X1,X2,edges
-7PuYohz9dR80iGfVR_kLA,9zGkU1ahmYCn3DlnKOXhqA,1
-7PuYohz9dR80iGfVR_kLA,EYmj4QlhqgrsMXnLeGLu3Q,1
-7PuYohz9dR80iGfVR_kLA,RnGG5bAz4nTPo_Ui99Kzbg,1
-7PuYohz9dR80iGfVR_kLA,VIJ2KiDKhUVhhpNylEIfog,1
-7PuYohz9dR80iGfVR_kLA,dHkbBWmXXjaO_-9BgQyEPg,1
-7PuYohz9dR80iGfVR_kLA,dIZcPB3CtNjMn4O_p8QFxw,1
-7PuYohz9dR80iGfVR_kLA,yiWYJnHngOJWuP_CFP6Itw,1
-A4suUjxa7gNaiUMDjO42g,-Jhlh8Scjy669NdtCfKSSg,1
-A4suUjxa7gNaiUMDjO42g,-fiUXzkxRfbHY9TKWwuptw,1
-A4suUjxa7gNaiUMDjO42g,-zEpEmDfFQL-ph0N3BDlXA,1
-A4suUjxa7gNaiUMDjO42g,0FrYsoVHheQGoXEQsH2d2Q,1
-A4suUjxa7gNaiUMDjO42g,1p6qHrapvuKpbZGLT9qskw,1
-A4suUjxa7gNaiUMDjO42g,1qQ5VkxiBUjbGGdpBN-PUQ,1
-A4suUjxa7gNaiUMDjO42g,2pbOSrbB5AtQIa240AXNvQ,1
-A4suUjxa7gNaiUMDjO42g,5jXwI9WpDxGDmzmkmE0RTg,1
-A4suUjxa7gNaiUMDjO42g,5lw5rrhFMz-liykUn8dGSw,1
-A4suUjxa7gNaiUMDjO42g,6d82R41sVNDVS0I-c1Ghkg,1
-A4suUjxa7gNaiUMDjO42g,8GUMO244E8CxfJcyJIWFOA,1
-A4suUjxa7gNaiUMDjO42g,9V4AGrJphOIw2RC1UoPPRw,1
-A4suUjxa7gNaiUMDjO42g,B2N_XO6fX0ILL9c50QuzHg,1
-A4suUjxa7gNaiUMDjO42g,B9W60PTxn7XOZfk4BiTvyw,1
-A4suUjxa7gNaiUMDjO42g,CpNMXASiwtJv5eCDf0n63g,1
-A4suUjxa7gNaiUMDjO42g,CrIWqmuO2uQWwl3z11K_BA,1
-A4suUjxa7gNaiUMDjO42g,D6SCh4BwNb52wZIqXdS4JQ,1
-A4suUjxa7gNaiUMDjO42g,DkwuiCqvSrqE8fUA4qJPBw,1
-A4suUjxa7gNaiUMDjO42g,EYmj4QlhqgrsMXnLeGLu3Q,1
-A4suUjxa7gNaiUMDjO42g,Epr8Ft7LwYAzotFwxQX6uw,1
-A4suUjxa7gNaiUMDjO42g,F1qPjasn0R6-j8sa6iYNmA,1
