review_count,rating,price,categories,is_closed
322,5.0,2,newamerican,0
162,5.0,2,soulfood,0
890,5.0,2,gastropubs,0
1418,4.5,2,korean,0
129,5.0,2,italian,0
78,5.0,1,coffee,0
271,5.0,2,bangladeshi,0
354,5.0,2,cocktailbars,0
1823,4.5,1,tacos,0
315,5.0,2,pizza,0
363,5.0,1,halal,0
277,5.0,1,desserts,0
535,4.5,1,pizza,0
254,5.0,1,delis,0
201,5.0,1,sandwiches,0
277,5.0,2,mediterranean,0
256,5.0,1,cafes,0
186,5.0,2,delis,0
1107,4.5,1,delis,0
3025,4.5,1,tacos,0
227,5.0,2,chinese,0
243,5.0,1,mideastern,0
206,5.0,1,bakeries,0
677,4.5,2,coffee,0
129,5.0,2,delis,0
70,5.0,2,italian,0
594,4.5,3,sushi,0
407,4.5,2,modern_european,0
148,5.0,2,comfortfood,0
265,5.0,3,steak,0
144,5.0,2,mediterranean,0
60,5.0,4,australian,0
205,5.0,2,coffee,0
262,4.5,2,cantonese,0
266,4.5,3,sushi,0
329,4.5,2,thai,0
556,4.5,2,delis,0
699,4.5,2,spanish,0
127,5.0,1,bakeries,0
397,4.5,1,foodtrucks,0
607,4.5,1,seafood,0
177,5.0,2,coffee,0
221,4.5,2,delis,0
710,4.5,1,coffee,0
345,4.5,2,italian,0
361,4.5,3,greek,0
214,4.5,2,pastashops,0
344,4.5,1,meats,0
599,4.5,2,hotpot,0
178,5.0,2,delis,0
369,4.5,2,indpak,0
274,4.5,2,japanese,0
163,5.0,2,asianfusion,0
65,5.0,2,indpak,0
313,4.5,2,newamerican,0
535,4.5,2,meats,0
1508,4.5,2,thai,0
83,5.0,2,coffee,0
955,4.5,2,sushi,0
1146,4.5,2,pizza,0
405,4.5,2,afghani,0
214,4.5,2,delis,0
595,4.5,2,italian,0
109,5.0,1,coffee,0
142,5.0,2,newmexican,0
195,4.5,1,grocery,0
466,4.5,3,sushi,0
269,4.5,2,vegan,0
142,5.0,2,cafes,0
396,4.5,2,indpak,0
951,4.5,2,mexican,0
141,5.0,1,coffee,0
204,4.5,2,sportsbars,0
492,4.5,2,pizza,0
320,4.5,2,newamerican,0
3336,4.5,1,bagels,0
168,4.5,2,mediterranean,0
1227,4.5,2,thai,0
127,5.0,2,ethiopian,0
148,4.5,2,bars,0
1602,4.5,4,french,0
757,4.5,2,mexican,0
183,4.5,2,italian,0
220,4.5,2,cuban,0
378,4.5,2,thai,0
920,4.5,2,vegetarian,0
164,4.5,2,taiwanese,0
134,4.5,2,pizza,0
474,4.5,2,lounges,0
848,4.5,3,steak,0
1574,4.5,2,cocktailbars,0
187,4.5,2,breakfast_brunch,0
202,4.5,2,wine_bars,0
265,4.5,2,caribbean,0
146,4.5,2,korean,0
2926,4.5,4,newamerican,0
198,4.5,2,latin,0
167,4.5,2,mexican,0
91,5.0,2,indpak,0
1652,4.5,4,french,0
293,4.5,3,korean,0
176,4.5,2,breakfast_brunch,0
595,4.5,4,korean,0
102,5.0,4,japanese,0
272,4.5,1,coffee,0
209,4.5,2,wine_bars,0
478,4.5,4,japanese,0
162,4.5,2,thai,0
99,5.0,4,french,0
189,4.5,2,turkish,0
439,4.5,1,italian,0
91,5.0,4,french,0
342,4.5,2,szechuan,0
258,4.5,2,foodtrucks,0
497,4.5,2,french,0
405,4.5,1,desserts,0
306,4.5,2,latin,0
133,4.5,2,delis,0
404,4.5,2,japanese,0
115,4.5,2,sandwiches,0
2543,4.5,4,french,0
252,4.5,2,szechuan,0
