,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,special_hours,
0,RDpWchPc4-urvp2XJDsDKw,flight-151-new-york,Flight 151,https://s3-media2.fl.yelpcdn.com/bphoto/nJU91fa0md85F0dlVsV9DA/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/flight-151-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,12122291868,(212) 229-1868,252,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'address1': '151 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['151 8th Ave', 'New York, NY 10011'], 'cross_streets': '18th St & 17th St'}","{'latitude': 40.7421099, 'longitude': -74.00118}","['https://s3-media2.fl.yelpcdn.com/bphoto/nJU91fa0md85F0dlVsV9DA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/C24WMg6cyoUn1kwAvP4JEg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/DtD7Z0aUu9w91W8pEAXEQA/o.jpg']",$$,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
1,0SakkRuHhECsDsZ8mRkisQ,il-triangolo-corona-3,IL Triangolo,https://s3-media1.fl.yelpcdn.com/bphoto/ObQBWZ5vCKA1qIQxlQA1Wg/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/il-triangolo-corona-3?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,17182711250,(718) 271-1250,462,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'address1': '96-01 Corona Ave', 'address2': '', 'address3': '', 'city': 'Corona', 'zip_code': '11368', 'country': 'US', 'state': 'NY', 'display_address': ['96-01 Corona Ave', 'Corona, NY 11368'], 'cross_streets': ''}","{'latitude': 40.742278, 'longitude': -73.8672901}","['https://s3-media1.fl.yelpcdn.com/bphoto/ObQBWZ5vCKA1qIQxlQA1Wg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Vp4hbcencGXXB8_w0yWYwQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/S0SbsmdDdY04Y-NgFuahNA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
2,frRqrd8fKuyPpsbvgaDqeA,champion-coffee-brooklyn-2,Champion Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/xulnJcThjToXSaR155Ye9w/o.jpg,TRUE,FALSE,https://www.yelp.com/biz/champion-coffee-brooklyn-2?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,13479873851,(347) 987-3851,40,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4,"{'address1': '1107 Manhattan Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['1107 Manhattan Ave', 'Brooklyn, NY 11222'], 'cross_streets': 'Dupont St & Clay St'}","{'latitude': 40.7363055, 'longitude': -73.9554949}","['https://s3-media3.fl.yelpcdn.com/bphoto/xulnJcThjToXSaR155Ye9w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/SN38jukDISghS1ZPP2LbnA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/NIorlqdMpsa1rH83Y5Wv3w/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
3,fttVQZmlXuYSf9crT9XlJg,sage-kitchen-new-york,Sage Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/AOuI9obAkVaX915ORLQMJQ/o.jpg,TRUE,FALSE,https://www.yelp.com/biz/sage-kitchen-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,16465805126,(646) 580-5126,21,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",5,"{'address1': '352 Bowery', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['352 Bowery', 'New York, NY 10012'], 'cross_streets': 'Cooper Sq & 4th St'}","{'latitude': 40.726816, 'longitude': -73.991962}","['https://s3-media2.fl.yelpcdn.com/bphoto/AOuI9obAkVaX915ORLQMJQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/-VWc-I50MzNPgHvlqvUH3Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/iu6Be7mFjnTJqMzYviMAeQ/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '1630', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
4,d7Asc4q2ImoPlA_BhfroTQ,kesté-pizza-and-vino-new-york-5,Kesté Pizza & Vino,https://s3-media3.fl.yelpcdn.com/bphoto/QmCGZCd9KsysWQddAnHTdg/o.jpg,TRUE,FALSE,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,12122431500,(212) 243-1500,1409,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4,"{'address1': '66 Gold S', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['66 Gold S', 'New York, NY 10038'], 'cross_streets': 'Ann St & Fulton St'}","{'latitude': 40.7093947, 'longitude': -74.0048977}","['https://s3-media3.fl.yelpcdn.com/bphoto/QmCGZCd9KsysWQddAnHTdg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/caB0yEnb6xeuL56UuKLeeA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/BeQyacebB6fX95PYdIZAEQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
5,zrjxk9o02-fs-hMcrAyaRQ,glaze-teriyaki-new-york-3,Glaze Teriyaki,https://s3-media2.fl.yelpcdn.com/bphoto/PbbxMprSxcD8GI3idhb7nw/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/glaze-teriyaki-new-york-3?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,12124209400,(212) 420-9400,279,"[{'alias': 'japanese', 'title': 'Japanese'}]",3.5,"{'address1': '139 4th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['139 4th Ave', 'New York, NY 10003'], 'cross_streets': '13th St & 14th St'}","{'latitude': 40.7337264, 'longitude': -73.9897411}","['https://s3-media2.fl.yelpcdn.com/bphoto/PbbxMprSxcD8GI3idhb7nw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Ey5HINgfJgAkJrBRHaMZag/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/ryPEFKyG3l-ORrpQs5ubJA/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
6,39Y5P5RYMuGJ4UTu3NxCjA,rye-house-new-york,Rye House,https://s3-media2.fl.yelpcdn.com/bphoto/xeTo--engcvqykDsxUk0xg/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/rye-house-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,,,458,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'address1': '11 W 17th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['11 W 17th St', 'New York, NY 10011'], 'cross_streets': '5th Ave & Avenue Of The Americas'}","{'latitude': 40.738382, 'longitude': -73.993022}","['https://s3-media2.fl.yelpcdn.com/bphoto/xeTo--engcvqykDsxUk0xg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/7KhMo_ImgTaJ6A-4X_oEFQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/kfvMlX073Dnh-KRngujyoQ/o.jpg']",$$,"[{'open': [{'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1600', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
7,-7iUpGTNDdy4WjxLGYp-_g,trattoria-italienne-new-york,Trattoria Italienne,https://s3-media3.fl.yelpcdn.com/bphoto/fgHM2BLhF9wOi7DmXaXpAA/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/trattoria-italienne-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,12126005139,(212) 600-5139,140,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'french', 'title': 'French'}]",4.5,"{'address1': '19 W 24th St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['19 W 24th St', 'New York, NY 10010'], 'cross_streets': 'Broadway & 5th Ave'}","{'latitude': 40.7430619, 'longitude': -73.9903948}","['https://s3-media3.fl.yelpcdn.com/bphoto/fgHM2BLhF9wOi7DmXaXpAA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/d3znfEEkB4Pzk8NBHY-SwA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/GpH7CnYHYYyUhJEZfWUJIA/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1400', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1630', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,
8,hh0W5CPtx2MoyQGb1kAEEA,chop-shop-ii-new-york-2,Chop Shop II,https://s3-media3.fl.yelpcdn.com/bphoto/mF4IQU3hiutaTIiIbujv_Q/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/chop-shop-ii-new-york-2?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,16469645672,(646) 964-5672,227,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",3.5,"{'address1': '41 W 24th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['41 W 24th St', 'New York, NY 10010'], 'cross_streets': 'Broadway & S Park Ave'}","{'latitude': 40.74324, 'longitude': -73.99123}","['https://s3-media3.fl.yelpcdn.com/bphoto/mF4IQU3hiutaTIiIbujv_Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/FjB6qGmEJWoDdkMyluF2DA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Z7EiT2S2H3dFfvRFkf09vQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",,
9,EE-HFgHfb-B3QdNFKhkUnA,the-hog-pit-nyc-new-york,The Hog Pit NYC,https://s3-media2.fl.yelpcdn.com/bphoto/w9h9eWpZHj-49RpX4SUxuA/o.jpg,TRUE,TRUE,https://www.yelp.com/biz/the-hog-pit-nyc-new-york?adjust_creative=GbDP3exFJ3vf-I_28atqbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GbDP3exFJ3vf-I_28atqbw,16467603645,(646) 760-3645,252,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bars', 'title': 'Bars'}]",3,"{'address1': '37B W 26th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['37B W 26th St', 'New York, NY 10010'], 'cross_streets': 'Broadway & Madison Ave'}","{'latitude': 40.7445738, 'longitude': -73.9904317}","['https://s3-media2.fl.yelpcdn.com/bphoto/w9h9eWpZHj-49RpX4SUxuA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/oOtRW32QBGVhADfnEnYb7Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/r2Z7-i3iajlURChYcLKY3w/o.jpg']",$$,"[{'open': [{'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
